"","id","ventas"
"110",250244,240.9342
"111",250248,288.8844
"112",250268,87.6996
"113",250275,379.1238
"114",250292,156.5496
"115",250346,93.1056
"116",250354,179.7954
"117",250357,95.5128
"118",250371,45.6042
"119",250383,189.5874
"120",250390,137.19
"121",250392,2855.133
"122",250409,147.3492
"123",250422,79.4988
"124",250438,701.1582
"125",250459,165.342
"126",250464,108.171
"127",250493,113.6484
"128",250504,133.977
"129",250511,136.1598
"130",250516,322.4832
"131",250518,216.903
"132",250520,267.6174
"133",250531,364.9152
"134",250539,128.8668
"135",250543,292.3422
"136",250579,165.1584
"137",250580,107.6202
"138",250588,63.4338
"139",250612,109.1298
"140",250627,122.5326
"141",250631,144.2178
"142",250640,98.8686
"143",250658,175.6032
"144",250692,216.954
"145",250695,259.4268
"146",250714,122.0022
"147",250715,177.7554
"148",250725,318.087
"149",250767,344.2704
"150",250808,313.9866
"151",250826,342.7608
"152",250829,88.6482
"153",250840,94.656
"154",250876,44.8698
"155",250887,72.9708
"156",250899,190.0974
"157",250902,628.7076
"158",250930,50.4696
"159",250950,29.0496
"160",250952,179.9892
"161",250968,375.6558
"162",250969,532.134
"163",250986,379.7766
"164",250994,2134.6356
"165",251026,260.5182
"166",251041,188.0982
"167",251042,223.227
"168",251064,225.522
"169",251070,41.4222
"170",251073,91.4736
"171",251074,402.5634
"172",251095,122.0328
"173",251096,126.7452
"174",251119,106.7124
"175",251143,109.2012
"176",251153,84.3948
"177",251167,582.6648
"178",251185,120.1254
"179",251202,125.3784
"180",251218,467.109
"181",251251,37.8726
"182",251269,66.4836
"183",251274,171.7986
"184",251279,530.502
"185",251308,104.1012
"186",251317,798.8946
"187",251330,107.9364
"188",251367,165.4848
"189",251380,208.7838
"190",251391,373.6872
"191",251392,134.3136
"192",251415,116.2494
"193",251420,225.369
"194",251427,541.2834
"195",251445,149.583
"196",251466,136.9656
"197",251471,693.498
"198",251484,138.5262
"199",251487,26.724
"200",251513,102.969
"201",251518,2140.2966
"202",251525,220.5036
"203",251527,353.4504
"204",251532,149.9502
"205",251541,36.9546
"206",251548,754.9938
"207",251566,380.0724
"208",251586,115.923
"209",251593,208.2534
"210",251613,99.8886
"211",251631,118.6158
"212",251655,76.653
"213",251686,519.3024
"214",251693,86.2104
"215",251711,1410.1194
"216",251713,165.3522
"217",251714,124.5012
"218",251725,123.7362
"219",251739,88.8726
"220",251751,104.7948
"221",251752,94.9722
"222",251767,187.6902
"223",251771,268.0866
"224",251773,362.8854
"225",251776,347.463
"226",251793,322.677
"227",251800,198.237
"228",251812,191.097
"229",251829,276.5322
"230",251835,91.545
"231",251844,113.3934
"232",251851,309.3354
"233",251868,3219.528
"234",251873,66.1164
"235",251876,306.6732
"236",251902,135.1194
"237",251904,262.9866
"238",251925,168.963
"239",251946,165.2298
"240",251969,127.6326
"241",251979,328.1544
"242",251982,229.092
"243",251987,106.182
"244",251992,118.4832
"245",251996,84.5274
"246",252007,195.126
"247",252015,411.6822
"248",252035,50.9592
"249",252049,209.4978
"250",252061,473.1372
"251",252066,84.0276
"252",252070,553.3602
"253",252073,147.9102
"254",252106,153.4386
"255",252133,1150.2846
"256",252144,138.1794
"257",252161,164.322
"258",252163,107.6814
"259",252170,111.7002
"260",252173,121.1046
"261",252174,260.7834
"262",252178,101.9796
"263",252182,435.3666
"264",252193,73.5624
"265",252230,262.4358
"266",252232,93.4116
"267",252252,362.4264
"268",252263,209.304
"269",252276,495.6486
"270",252278,98.6136
"271",252299,106.5084
"272",252303,69.2478
"273",252307,2729.0304
"274",252320,173.5224
"275",252329,75.8472
"276",252334,293.658
"277",252401,107.9262
"278",252444,193.0146
