,id,ventas,,
69,768156,7167.132,0%,
70,962021,7164.429,0%,
71,933979,7162.042,0%,
72,437281,7092.8454,0%,
73,983704,7050.617,0%,
74,427156,6998.7096,0%,
75,873198,6992.406,0%,
76,646318,6959.001,0%,
77,944609,6908.409,0%,
78,834893,6845.118,0%,
79,850485,6839.151,0%,
80,823849,6829.0632,0%,
81,827136,6739.3746,0%,
82,292012,6732.3162,0%,
83,501112,6731.796,0%,
84,452744,6702.8076,0%,
85,333851,6692.883,0%,
86,759029,6662.181,0%,
87,440097,6630.5916,0%,
88,339277,6619.9836,0%,
89,992149,6568.117,0%,
90,707927,6565.536,0%,
91,280911,6564.8628,0%,
92,573532,6527.7858,0%,
93,564341,6511.374,0%,
94,454986,6509.1912,0%,
95,387875,6505.5804,0%,
96,638926,6503.8158,0%,
97,510897,6485.9046,0%,
98,941155,6475.939,0%,
99,848213,6432.1506,0%,
100,267212,6367.0338,0%,
101,316895,6332.5272,0%,
102,452538,6327.7638,0%,
103,342214,6323.6124,0%,
104,433953,6309.3222,0%,
105,682356,6287.1168,0%,
106,328775,6284.0262,0%,
107,340098,6263.973,0%,
108,261610,6263.106,0%,
109,257831,6255.9252,0%,
110,570792,6218.1852,0%,
111,903005,6187.779,0%,
112,613299,6147.234,0%,
113,286067,6114.9714,0%,
114,283887,6114.7266,0%,
115,710868,6084.2388,0%,
116,179714,6060.2688,0%,
117,865510,6039.8076,0%,
118,464715,6030.5664,0%,
119,475404,5931.81,0%,
120,761894,5915.694,0%,
121,338705,5894.529,0%,
122,967846,5894.06,0%,
123,593946,5878.2804,0%,
124,613059,5859.4614,0%,
125,986713,5823.374,0%,
126,858952,5813.5512,0%,
127,544626,5797.2414,0%,
128,886392,5779.3812,0%,
129,990330,5772.904,0%,
130,830062,5661.9282,0%,
131,984723,5656.349,0%,
132,665844,5606.0118,0%,
133,627094,5576.9724,0%,
134,796759,5521.0662,0%,
135,740923,5481.3372,0%,
136,294507,5458.4178,0%,
137,884847,5454.2358,0%,
138,381824,5423.8704,0%,
139,720411,5377.4094,0%,
140,480938,5366.8422,0%,
141,909953,5355.459,0%,
142,675838,5345.157,0%,
143,395941,5323.9716,0%,
144,354314,5281.4172,0%,
145,272137,5274.675,0%,
146,871902,5167.8912,0%,
147,507373,5157.0894,0%,
148,616851,5151.0306,0%,
149,768631,5132.6502,0%,
150,955891,5111.047,0%,
151,878693,5094.543,0%,
152,820453,5093.8188,0%,
153,563525,5089.2492,0%,
154,496663,5077.5702,0%,
155,716360,5072.0928,0%,
156,867952,5062.3722,0%,
157,395278,5061.954,0%,
158,611208,5029.4262,0%,
159,955009,4974.071,0%,
160,486451,4970.7354,0%,
161,539663,4958.118,0%,
162,548930,4949.6928,0%,
163,957116,4919.654,0%,
164,969819,4908.046,0%,
165,750264,4884.27,0%,
166,455815,4857.5256,0%,
167,825217,4856.7912,0%,
168,413015,4853.6292,0%,
169,326920,4851.4566,0%,
170,537756,4849.2228,0%,
171,444171,4787.8086,0%,
172,814947,4779.3732,0%,
173,871496,4773.0696,0%,
174,354257,4764.012,0%,
175,933428,4764.012,0%,
176,500505,4738.8996,0%,
177,284838,4729.4136,0%,
178,650523,4728.6384,0%,
179,499199,4721.172,0%,
180,447534,4717.857,0%,
181,589932,4692.3468,0%,
182,659861,4691.6124,0%,
183,664834,4687.9098,0%,
184,976504,4671.467,0%,
185,821043,4661.1858,0%,
186,569369,4641.8262,0%,
187,662193,4637.226,0%,
188,643069,4589.796,0%,
189,499999,4578.5556,0%,
190,749808,4552.6578,0%,
191,573789,4551.9132,0%,
192,988592,4543.029,0%,
193,808357,4513.908,0%,
194,768639,4508.0328,0%,
195,940031,4493.773,0%,
196,722701,4480.911,0%,
197,405423,4472.9652,0%,
198,467133,4457.7672,0%,
199,393476,4437.9792,0%,
200,975478,4434.501,0%,
201,708541,4433.8686,0%,
202,539595,4407.4812,0%,
203,642430,4399.0866,0%,
204,523133,4387.6524,0%,
205,282094,4380.2166,0%,
206,806078,4376.208,0%,
207,834059,4372.7196,0%,
208,728673,4363.4886,0%,
209,363752,4345.1796,0%,
210,324909,4340.4774,0%,
211,342571,4331.2158,0%,
212,598085,4321.9236,0%,
213,795096,4302.9108,0%,
214,951136,4302.054,0%,
215,859027,4293.3126,0%,
216,464677,4292.4558,0%,
217,644867,4291.038,0%,
